"","x"
"1",41.7149656563126
"2",39.3547455587627
"3",39.0235876465104
"4",37.3233249742553
"5",34.6189826673388
"6",34.475450950092
"7",33.9240506918739
"8",32.954721516851
"9",30.9471329272306
"10",28.7015759402783
"11",28.6623423943375
"12",28.3459135626906
"13",27.8711896203977
"14",27.2936668490453
"15",25.862505947689
"16",24.1502173586521
"17",22.6584441508591
"18",22.6518559480478
"19",22.4664205383504
"20",22.3319654999483
"21",21.9131239625521
"22",20.9707943671702
"23",20.717087945523
"24",19.3208864415155
"25",17.9229747122367
"26",17.2214923681906
"27",17.1981859833542
"28",17.1393370799996
"29",17.0999884714035
"30",16.7837158792701
"31",16.4134250399844
"32",16.1759080659515
"33",15.1227590327257
"34",14.9990675975168
"35",13.965479557249
"36",12.8620545716883
"37",12.7449588776072
"38",12.7344873228152
"39",12.689943993846
"40",12.6823252425103
"41",12.5092297416672
"42",12.3815002612132
"43",12.1125978046552
"44",11.5840340338079
"45",11.5372283855566
"46",10.6975929619265
"47",10.5520553343057
"48",9.85249597961035
"49",9.29599614833752
"50",9.2874004428589
"51",9.23649671023344
"52",9.23254359658485
"53",9.18473633936823
"54",9.13918487409593
"55",9.05579648420184
"56",8.89489440953373
"57",8.69317358939661
"58",8.55228992152652
"59",8.12574657898417
"60",7.98108344759557
"61",7.48376493839337
"62",7.35782177109813
"63",6.88921236995593
"64",6.73226468625266
"65",6.72677707228261
"66",6.68277321218346
"67",6.67873673158003
"68",6.66948197527876
"69",6.65818813748199
"70",6.55109463423254
"71",6.45990871085961
"72",6.36181140592013
"73",6.21889262438565
"74",6.03328110083794
"75",5.97163566630285
"76",5.67447805141733
"77",5.54157948824708
"78",5.23072814438918
"79",5.12582759993225
"80",4.89387553058612
"81",4.88529481933582
"82",4.85815252276857
"83",4.85305098975834
"84",4.84260862000757
"85",4.84083119810823
"86",4.82763357061168
"87",4.78327743196178
"88",4.74887259036057
"89",4.64518397810634
"90",4.51655357895903
"91",4.49108178371387
"92",4.3540826316012
"93",4.21581458193991
"94",4.16196501791761
"95",3.98419945580294
"96",3.8960923242496
"97",3.69067999391032
"98",3.60805401897067
"99",3.57894336567088
"100",3.57376865695608
